GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
game_project,game,Main,7,0,0,0,3,0,2,0,2,0
game_project,game,GameApplication,52,0,4,0,16,0,4,0,2,0
game_project,game,InfoMenuController,26,0,0,0,6,0,2,0,2,0
game_project,game,MenuController,102,0,2,0,29,0,7,0,6,0
game_project,game,GameController,376,0,23,0,83,0,30,0,16,0
game_project,game.model.xmlhandler,JavaToXml,3,200,0,12,1,37,1,7,1,1
game_project,game.model.xmlhandler,GameState,200,66,24,0,0,10,16,19,4,19
game_project,game.model.xmlhandler,XmlToJava,13,55,1,5,5,12,2,3,1,1
game_project,game.model,Direction,0,52,0,0,0,11,0,4,0,4
game_project,game.model,GameModel,7,509,1,41,5,80,1,37,0,17
game_project,game.model,EntityType,0,27,0,0,0,5,0,1,0,1
game_project,game.model,Entity,0,23,0,0,0,7,0,3,0,3
game_project,game.model,Position,0,29,0,0,0,2,0,4,0,4
